Mois,Business_Unit_Code,Business_Unit,Centre_Cout_Code,Centre_Cout,Nature_Depense,Budget_EUR,Reel_EUR
2025-01,BU01,Construction France,CC1001,IT,Logiciels,6335.71,7373.09
2025-01,BU01,Construction France,CC1001,IT,Prestations externes,10702.77,11211.76
2025-01,BU01,Construction France,CC1001,IT,Salaires,15185.0,13688.95
2025-01,BU01,Construction France,CC1001,IT,Matériel,5493.95,6240.24
2025-01,BU01,Construction France,CC1001,IT,Déplacements,3887.34,4212.57
2025-01,BU01,Construction France,CC1001,IT,Logiciel,4574.1,5352.02
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Logiciels,8121.53,7472.39
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Prestations externes,7731.85,7040.04
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Salaires,16785.82,17174.74
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Matériel,7064.17,6683.45
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Déplacements,3909.89,3503.39
2025-01,BU01,Construction France,CC1002,Ressources Humaines,Énergie,5551.72,5390.16
2025-01,BU01,Construction France,CC1003,Finance,Logiciels,6653.67,7379.64
2025-01,BU01,Construction France,CC1003,Finance,Prestations externes,7828.24,7982.43
2025-01,BU01,Construction France,CC1003,Finance,Salaires,19898.08,17218.38
2025-01,BU01,Construction France,CC1003,Finance,Matériel,7801.69,7070.46
2025-01,BU01,Construction France,CC1003,Finance,Déplacements,2761.61,3212.12
2025-01,BU01,Construction France ,CC1003,Finance,Énergie,7976.28,8907.67
2025-01,BU02,Construction UK,CC2001,IT,Logiciels,6062.99,5348.97
2025-01,BU02,Construction UK,CC2001,IT,Prestations externes,10444.86,10395.25
2025-01,BU02,Construction UK,CC2001,IT,Salaires,14818.01,15016.7
2025-01,BU02,Construction UK,CC2001,IT,Matériel,5394.43,6204.01
2025-01,BU02,Construction UK,CC2001,IT,Déplacements,3168.44,3385.9
2025-01,BU02,Construction UK,CC2001,IT,Énergie,5622.16,5743.72
2025-01,BU02,Construction UK,CC2002,Ressources Humaines,Logiciels,7007.17,6383.55
